Date,Liquity ($),Abracadabra.money ($),Reflexer ($),Angle ($),Origin DeFi ($),Vesta Finance ($),MakerDAO ($)
11/10/2022,21738.67,146045.4,157.39,46822.37,3155.06,16.69,0
11/11/2022,7098.48,8905.64,23.05,0,802.38,1981.42,0
11/12/2022,7278.21,6688.31,0,0,0,41.09,0
11/13/2022,6552.05,7065.42,310.19,0,0,139.06,0
11/14/2022,7048.69,13062.36,65.49,0,436.33,14.65,0
11/15/2022,13782.64,3708.39,0,0,990.85,64.82,0
11/16/2022,9126.94,13451.82,0,0,650.36,1.85,0
11/17/2022,11063.48,148095.94,118.69,41283.01,2916.72,6235.86,0
11/18/2022,9562.6,6273.51,442.94,0,2138.15,124.21,0
11/19/2022,39793.93,4218.82,0,0,185.01,26.05,0
11/20/2022,9269.66,4489.89,0,0,167.36,201.64,0
11/21/2022,14806.97,4676.38,1906.15,0,195.8,44.61,0
11/22/2022,13179.54,2670.92,0,0,1043.99,68.13,0
11/23/2022,7118.04,18417.44,131.9,0,2656.52,8.92,0
11/24/2022,7614.66,120246.45,251.26,43404.13,616.96,146.73,0
11/25/2022,20202.26,4845.36,0,0,0,26.83,0
11/26/2022,9130.9,3733.11,172.58,0,0,26.45,0
11/27/2022,6589.17,4510.44,29.77,0,498.9,102.66,0
11/28/2022,13221.57,7197.78,2460.01,0,83.49,76.2,0
11/29/2022,7241.5,4581.83,0,0,0,194.39,0
11/30/2022,11061.97,4795.66,48789.63,0,216.73,32.5,0
12/1/2022,6482.4,80095.68,6218.52,39317.61,1493.83,571.48,0
12/2/2022,25822.62,6272.92,934.24,0,3976.3,365.33,0
12/3/2022,5983.98,8232.4,0,0,560.92,93.63,0
12/4/2022,7510.72,1186.68,0,0,0,348.1,0
12/5/2022,13243.27,1458.33,4366.57,0,0,117.46,0
12/6/2022,6901.77,656.21,0,0,582.78,1332.4,0
12/7/2022,7670.72,7546.01,0,0,87.41,144.04,0
12/8/2022,21853.26,44351.96,0,39808.81,28353.31,80.81,0
12/9/2022,7217.74,63277.18,1205.81,0,78435.25,150.66,0
12/10/2022,6488.22,18770.66,0,0,62.76,741.02,0
12/11/2022,20900.15,6557.61,0,0,0,1117.4,0
12/12/2022,7862.32,638.75,0,0,0,2526.75,0
12/13/2022,14253.1,208.12,34.07,0,73271.73,455.56,0
12/14/2022,5033.66,3442.8,297.69,0,1665.43,204.88,0
12/15/2022,14974.36,98245.8,0,37168.18,0,55.17,0
12/16/2022,6722.25,10298.76,0,0,84755.7,75.69,0
12/17/2022,11611.58,3413.35,264.61,0,134.89,598.28,0
12/18/2022,6227.74,1814.67,694.92,0,60.85,183.33,0
12/19/2022,7835.53,21868.97,401.02,0,75.38,48.76,0
12/20/2022,7026.86,4036.63,623.17,0,433.25,419.72,0
12/21/2022,40035.06,13032.41,5148.94,0,154.77,15,0
12/22/2022,7195.07,70467.39,152.17,37291.45,112.9,4.8,0
12/23/2022,11247.62,3593.6,0,0,571.9,113.25,0
12/24/2022,6046.42,8633.54,0,0,360.9,5538.42,0
12/25/2022,6827.57,4581.13,64.1,0,0,33.19,0
12/26/2022,6598.82,689.03,334.58,0,0,28.24,0
12/27/2022,11059.89,1889.99,616.15,0,157.96,178.25,0
12/28/2022,6761.13,22282.84,12780.68,0,1567.62,994.43,0
12/29/2022,10652.12,41963.91,21812.11,39206.85,7226.81,17.61,0
12/30/2022,6490.42,336.48,0,0,1305.43,37.02,0
12/31/2022,14627.9,8074.33,14113.2,0,6024.51,480.82,0
1/1/2023,7103.7,2121.75,424.51,0,10.38,691.11,0
1/2/2023,12572.65,1831.57,5020.52,0,0,44.32,0
1/3/2023,9053.91,912.23,1665.57,0,249.5,13.15,0
1/4/2023,8186.04,4574.33,358.73,0,47.02,630.59,0
1/5/2023,6313.48,69101.07,0,38410.48,0,25.1,0
1/6/2023,7288.18,5276.37,4112.3,0,105.34,44.85,0
1/7/2023,8037.41,12673.66,0,0,159.98,232.37,0
1/8/2023,6499.57,5204.66,26.32,0,1564.54,0.02,0
1/9/2023,13338.04,5585.88,0,0,21.53,308.5,0
1/10/2023,12290.19,3356.25,974.31,0,70.7,549.49,0
1/11/2023,10825.36,3176.95,2315.37,0,27.71,55.3,0
