Date,Livepeer (#),Chainlink (#),Worldcoin (#),The Graph (#),Ethereum Name Service (#),Gitcoin (#),Render Network (#),UMA (#),Aragon (#),Kleros (#),Tornado Cash (#),Bounce Finance (#),Arkham (#),Instadapp (#)
2021-07-13,2536417.00,557074.00,,67115.00,,17936.00,4376.00,14990.00,9855.00,8894.00,6846.00,2148.00,,2564.00
2021-07-14,2536391.00,557724.00,,67269.00,,17916.00,4378.00,15011.00,9850.00,8899.00,6844.00,2151.00,,2575.00
2021-07-15,2536325.00,558411.00,,67427.00,,17941.00,4380.00,15021.00,9856.00,8898.00,6844.00,2154.00,,2570.00
2021-07-16,2536276.00,559027.00,,67553.00,,17958.00,4377.00,15022.00,9864.00,8902.00,6839.00,2155.00,,2570.00
2021-07-17,2536192.00,559560.00,,67656.00,,17995.00,4380.00,15034.00,9882.00,8906.00,6839.00,2153.00,,2564.00
2021-07-18,2536135.00,560061.00,,67775.00,,17996.00,4385.00,15050.00,9895.00,8916.00,6839.00,2158.00,,2573.00
2021-07-19,2536067.00,560564.00,,67862.00,,18006.00,4382.00,15054.00,9897.00,8924.00,6826.00,2157.00,,2572.00
2021-07-20,2535980.00,560147.00,,67928.00,,17997.00,4372.00,15062.00,9905.00,8932.00,6827.00,2158.00,,2570.00
2021-07-21,2535920.00,560535.00,,69138.00,,18023.00,4379.00,15081.00,9919.00,8940.00,6842.00,2161.00,,2580.00
2021-07-22,2535891.00,561168.00,,69216.00,,18034.00,4387.00,15104.00,9929.00,8967.00,6831.00,2159.00,,2600.00
2021-07-23,2535858.00,561751.00,,69300.00,,18030.00,4394.00,15113.00,9932.00,8990.00,6799.00,2165.00,,2620.00
2021-07-24,2535823.00,562408.00,,69397.00,,18046.00,4399.00,15154.00,9937.00,8994.00,6805.00,2172.00,,2627.00
2021-07-25,2535753.00,562915.00,,69483.00,,18070.00,4402.00,15177.00,9958.00,8993.00,6813.00,2183.00,,2636.00
2021-07-26,2535741.00,563931.00,,69639.00,,18066.00,4408.00,15192.00,9975.00,8990.00,6804.00,2172.00,,2650.00
2021-07-27,2535724.00,564491.00,,70307.00,,18063.00,4413.00,15191.00,9982.00,8989.00,6808.00,2174.00,,2774.00
2021-07-28,2535679.00,565475.00,,70716.00,,18069.00,4421.00,15206.00,9993.00,8991.00,6804.00,2177.00,,2857.00
2021-07-29,2535089.00,566281.00,,71120.00,,18058.00,4418.00,15228.00,10014.00,8997.00,6818.00,2178.00,,2895.00
2021-07-30,2533458.00,567431.00,,71334.00,,18074.00,4415.00,15242.00,10034.00,9002.00,6824.00,2180.00,,2926.00
2021-07-31,2533399.00,568426.00,,71505.00,,18096.00,4418.00,15266.00,10052.00,9012.00,6825.00,2187.00,,2964.00
